origin,destination,waypoints,distance_km,duration_min,avg_speed_kph,elevation_gain_m,max_elevation_m,avg_slope
"Zaragoza, Spain","Marseille, France","Toulouse, France|Montpellier, France",804.092,572.7166666666667,84.23976951954137,3092.94903087616,2002.565673828125,61.8589806175232
"Seville, Spain","Bilbao, Biscay, Spain",,863.454,504.9666666666666,102.5953660307611,1927.1225681304936,1029.190795898438,38.542451362609874
"Prague, Czechia","78000 Versailles, France",,1053.864,657.6166666666667,96.15303748384318,1585.9316520690918,559.1132202148438,31.718633041381835
"78000 Versailles, France","Prague, Czechia",,1055.818,654.7833333333333,96.74815587853487,1596.8994598388667,595.6489868164062,31.93798919677733
"Madrid, Spain","St Petersburg, Russia",,4015.925,2531.2833333333333,95.19104275170038,1566.9060096740727,1048.520874023438,31.33812019348145
"St Petersburg, Russia","Madrid, Spain",,4083.532,2541.45,96.40635070530602,2193.78590965271,1109.048095703125,43.8757181930542
"Teruel, Spain","Valladolid, Spain",,420.731,284.55,88.71502372166579,937.7506713867172,1268.338012695312,18.755013427734344
"07181 Palma Nova, Balearic Islands, Spain","07320 Santa Maria del Camí, Balearic Islands, Spain",,32.647,30.416666666666668,64.39956164383563,299.02862453460693,170.3465728759766,5.980572490692139
"07510 Sineu, Balearic Islands, Spain","07630 Campos, Balearic Islands, Spain",,29.953,30.2,59.50927152317881,144.81135368347185,190.9968414306641,2.896227073669437
"Turin, Metropolitan City of Turin, Italy","06 Weißenfels, Germany","90 Nuremberg, Germany|95213 Münchberg, Germany",979.429,642.0,91.53542056074768,2556.3448791503906,1589.11181640625,51.12689758300781
"Almodôvar, 7700, Portugal","21500 Gibraleón, Huelva, Spain",,138.304,108.4,76.5520295202952,539.8467402458189,368.6419677734375,10.796934804916377
"Zamora, Spain","47100 Tordesillas, Valladolid, Spain",,70.429,51.4,82.21284046692607,300.5135498046875,774.2125244140625,6.01027099609375
